[
Record [type=1, time=Fri Jul 07 01:08:24 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=enter, data=order inputPwd], 
Record [type=1, time=Fri Jul 07 01:08:24 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=enter, data=goodLogin], 
Record [type=1, time=Fri Jul 07 01:08:25 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=login, data=success], 
Record [type=1, time=Sun Jul 09 04:45:10 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=enter, data=start], 
Record [type=1, time=Sun Jul 09 04:45:20 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=enter, data=order inputPwd], 
Record [type=1, time=Sun Jul 09 04:45:21 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=enter, data=goodLogin], 
Record [type=1, time=Sun Jul 09 04:45:21 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=login, data=success], 
Record [type=1, time=Tue Jul 11 23:45:15 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=enter, data=start], 
Record [type=1, time=Tue Jul 11 23:45:25 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=enter, data=order inputPwd], 
Record [type=1, time=Tue Jul 11 23:45:25 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=enter, data=goodLogin], 
Record [type=1, time=Tue Jul 11 23:45:26 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=login, data=success], 
Record [type=1, time=Wed Jul 12 22:51:17 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=enter, data=start], 
Record [type=1, time=Wed Jul 12 22:51:26 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=enter, data=order inputPwd], 
Record [type=1, time=Wed Jul 12 22:51:26 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=enter, data=goodLogin], 
Record [type=1, time=Wed Jul 12 22:51:27 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=login, data=success], 
Record [type=1, time=Wed Jul 05 14:38:44 EDT 2017, userid=ipt101, site=voteforyou, scheme=testpasstiles, mode=ImagePasstiles_Poll, event=create, data=start], 
Record [type=1, time=Wed Jul 05 14:38:44 EDT 2017, userid=ipt101, site=voteforyou, scheme=testpasstiles, mode=ImagePasstiles_Poll, event=create, data=picChange], 
Record [type=1, time=Wed Jul 05 14:38:44 EDT 2017, userid=ipt101, site=voteforyou, scheme=testpasstiles, mode=ImagePasstiles_Poll, event=create, data=picAccept], 
Record [type=1, time=Wed Jul 05 14:38:45 EDT 2017, userid=ipt101, site=voteforyou, scheme=testpasstiles, mode=ImagePasstiles_Poll, event=create, data=Password], 
Record [type=1, time=Wed Jul 05 14:39:11 EDT 2017, userid=ipt101, site=voteforyou, scheme=testpasstiles, mode=ImagePasstiles_Poll, event=create, data=order inputPwd], 
Record [type=1, time=Wed Jul 05 14:39:11 EDT 2017, userid=ipt101, site=voteforyou, scheme=testpasstiles, mode=ImagePasstiles_Poll, event=create, data=goodPractice], 
Record [type=1, time=Wed Jul 05 14:39:16 EDT 2017, userid=ipt101, site=voteforyou, scheme=testpasstiles, mode=ImagePasstiles_Poll, event=create, data=hidePassword], 
